id,名称,原始名称,生命值,攻击力,攻击类型,防御力,法抗,攻击范围,攻击间隔,移速,权重,额外权重,技能/特性
40,清醒的墨魉,“阿咬”,3000,290,,120,10.0,,,1.1,,,虽然已经戒酒，但仍然顽皮贪吃，毕竟只是墨魉而已。
41,高普尼克,高普尼克,30000,2000,,200,50.0,,,0.5,,,兢兢业业当了多年保镖的乌萨斯壮汉，皮糙肉厚，拳脚也相当了得。
42,失业萨克斯手,残党萨克斯手,17500,800,,650,20.0,,,0.8,,,乐团解散后怎么也找不到新工作，听得出来他真的一肚子怨气。
43,巨大雪球投手,“投石机”,10000,800,,700,20.0,,,0.7,,,郑重承诺：本场战斗不率先使用冷兵器。
44,杰斯顿·威廉姆斯,杰斯顿·威廉姆斯,25000,700,,400,20.0,,,0.6,,,维持体面形象时会使对手晕眩，露出真面目后就不会手下留情了。
45,“庞贝”,“庞贝”,40000,230,,220,70.0,,,0.65,,,巨大的源石虫，不论在它周围还是保持一定距离都不安全。
46,砸人的石头,泥岩巨像,100000,3000,,700,30.0,,,0.4,,,行走的巨石堆，挥拳慢不是因为真的慢，而是因为它在深思熟虑。
47,迫击炮弹投手,炮击组长,5000,550,,150,0.0,,,0.8,,,有时候，他真的很希望自己抛射的不是炮弹，而是卷心菜。
48,狗Pro,狂暴的猎狗pro,3000,370,,0,20.0,,,1.9,,,没人知道它为何变得如此狂暴，咬人又快又痛。
49,流鼻涕虫虫,酸液源石虫·α,2780,290,,0,0.0,,,1.0,,,努力地向敌人喷出腐蚀性的鼻涕，呕。
50,迷茫的合声,终曲合声,60000,300,,0,0.0,,,0.9,,,误打误撞走进赛场，稀里糊涂成了选手，现在它们也只能走一步算一步了。
51,橡胶弹狙击手,狙击步兵,3500,300,,100,10.0,,,0.8,,,先不论他们能击倒多少对手，会被他们的子弹吵得脑袋嗡嗡响是真的。
52,奎隆，摩诃萨埵权化,奎隆，摩诃萨埵权化,300000,3500,,1200,70.0,,,0.35,,,据称有赞助商想要与其合作设立一家莲座运输公司，但被他一口回绝了。
53,度假区越野车,全封闭沙滩车,15000,750,,500,10.0,,,2.0,,,驾驶员工会严正抗议一切针对司机的攻击行为。
54,神射机甲,R-11突击动力装甲,25000,1200,,1000,20.0,,,0.3,,,听说保险公司拒绝为它们造成的人身伤害和设施损坏进行赔付。
55,神拳机甲,R-31重型动力装甲,25000,1600,,1000,20.0,,,0.3,,,别害怕，允许参赛的是已经大幅削减了性能的民用版本。
56,止戈者,沉沙,10000,1500,,500,30.0,,,1.5,,,被它们手上的锈刃伤到可不好受，一定要学会保护自己。
57,易爆种子,枯朽之种,1200,1750,,0,0.0,,,0.6,,,不用问工作人员接近这些种子是否安全，没人会去确认的。
58,匪帮欢乐船,水手重艇,18000,1300,,700,0.0,,,1.2,,,单人船艇的出现大幅增加了这些水上流氓参与比赛时的刺激感。
59,“情绪失控”,“盛怒”,16000,1100,,600,25.0,,,0.7,,,心理治疗师们都很困惑，它们的暴脾气究竟是从哪儿来的。
60,“睡眠不足”,“妒”,8000,500,,100,60.0,,,0.8,,,主办方安排的医疗团队怎么也治不好它们的失眠。
61,龙卷风忍者,水遁宗师,12000,750,,350,20.0,,,0.7,,,忍者训练第一课：克服晕头转向的感觉。
62,极饿先锋,萨卡兹枯朽吞噬者,25000,1050,,0,20.0,,,0.5,,,饥饿会让人走向绝路，换个说法就是——他们真的什么都吃得下。
63,群集之瘴,瘴,10000,750,,200,30.0,,,0.5,,,如果这种化物会说话，它们的口号也许是“大地给予我力量！”吧。
64,凋零骑士,凋零骑士,70000,700,,500,70.0,,,0.65,,,当腐败骑士死亡时，攻击力、攻击速度、移动速度大幅提升
65,并驾骑士,腐败骑士,70000,1500,,1000,30.0,,,0.65,,,【协同】该敌人以组合形式出场\n事先说明，他们参赛前使用药物不算违反赛事规定。
66,侠客三人行,玉双剑,38000,700,,300,35.0,,,0.5,,,【协同】该敌人以组合形式出场\n比赛如同江湖行事，独来独往无法解决所有问题，侠客们对此心知肚明。
67,炭长矛,炭长矛,120000,1200,,300,60.0,,,0.9,,,擅使矛的侠客，活跃于百氏之乱期间，以武勇闻名天下。
68,枣大刀,枣大刀,60000,1800,,600,60.0,,,0.7,,,擅使刀的侠客，活跃于百氏之乱期间，以忠义闻名天下。
69,“萨米的意志”,“萨米的意志”,100000,800,,800,40.0,,,1.0,,,有它出场的比赛观众总能坚持观看到最后一局，因为离场通道被它堵住了。
70,岁相,岁相,130000,1200,,550,30.0,,,0.1,,,主办方在观众席前加装了许多层隔热玻璃，这才说服人们安心前来观赛。
